"OKV_SCHEMA,""DL_NAAM"",""DL_FREQUENTIE_INFO"",""TYPE_DL_NAAM"",""AANTAL_RUNS_PER_BRON"",""AANTAL_RUNS_GOED"",""AANTAL_RUNS_FOUT"",""DL_RUN_ID"",""RUN_FOUT"",""DL_ID"",""PROCES_NAAM"",""PROCES_STATUS"",""START_TIJD"",""EIND_TIJD"",""VERSCHIL"""
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""BronzoneHarnas"",""Klaar"",05-01-2024 04:14_31,05-01-2024 05:44_12,90"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""ControleerPreStaging"",""Klaar"",05-01-2024 04:11_55,05-01-2024 04:12_12,0"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Controleerparfileenlogfile"",""Klaar"",05-01-2024 04:05_20,05-01-2024 04:05_29,0"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""ControlerenStaging"",""Klaar"",05-01-2024 04:12_56,05-01-2024 04:13_38,1"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""DatapumpHarnas"",""Klaar"",05-01-2024 04:00_12,05-01-2024 04:14_27,14"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""DetecteerParfile"",""Klaar"",05-01-2024 04:00_15,05-01-2024 04:04_50,5"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Exporteerparfileenlogfile"",""Klaar"",05-01-2024 04:04_56,05-01-2024 04:05_15,0"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Genereer DML"",""Klaar"",05-01-2024 04:27_09,05-01-2024 04:29_06,2"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""GenereerStagingSynonyms"",""Klaar"",05-01-2024 04:12_15,05-01-2024 04:12_52,1"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Importeerdatapump"",""Klaar"",05-01-2024 04:05_32,05-01-2024 04:11_53,6"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Inirt Bronzone"",""Klaar"",05-01-2024 04:26_49,05-01-2024 04:29_11,2"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Laden Bronzone"",""Klaar"",05-01-2024 04:29_13,05-01-2024 05:44_11,75"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Laden Delta tabel"",""Klaar"",05-01-2024 04:29_37,05-01-2024 05:44_04,74"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""MaskeringsDataVullen"",""Klaar"",05-01-2024 04:14_33,05-01-2024 04:26_47,12"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""MasterDatapumpHarnas"",""Klaar"",05-01-2024 04:00_09,05-01-2024 05:44_17,104"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""Update recentste verwerking"",""Klaar"",05-01-2024 05:44_20,05-01-2024 05:44_24,0"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""VerplaatsenBestandenNaarArchiefFolder"",""Klaar"",05-01-2024 04:13_40,05-01-2024 04:14_25,1"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""VerplaatsenBestandenNaarVerwerkingsFolder"",""Klaar"",05-01-2024 04:04_51,05-01-2024 04:04_53,0"
"OKV_WWF_PO,""wwf.wwfdagelijks"",""Dagelijks"",""datadump"",126,125,1,10077,0,117,""VerwijderParamBestanden"",""Klaar"",05-01-2024 05:44_14,05-01-2024 05:44_16,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""BronzoneHarnas"",""Klaar"",05-01-2024 03:57_40,05-01-2024 04:00_40,3"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""BronzonePreProces"",""Klaar"",05-01-2024 03:58_16,05-01-2024 03:58_19,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""ControlerenResafasaPakbon"",""Klaar"",05-01-2024 03:55_45,05-01-2024 03:55_52,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""ControlerenStagingResafasa"",""Klaar"",05-01-2024 03:57_10,05-01-2024 03:57_21,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Creatie delta tabel"",""Klaar"",05-01-2024 03:58_45,05-01-2024 03:58_50,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Creatie technische staging tabellen"",""Klaar"",05-01-2024 03:58_30,05-01-2024 03:58_43,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""DetecteerResafasaPakbon"",""Klaar"",05-01-2024 03:45_39,05-01-2024 03:55_31,10"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerSchemaFile"",""Klaar"",05-01-2024 03:56_02,05-01-2024 03:56_06,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerSchemaFiles"",""Klaar"",05-01-2024 03:55_57,05-01-2024 03:56_08,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerStagingSynonyms"",""Klaar"",05-01-2024 03:57_23,05-01-2024 03:57_28,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerStagingTabel"",""Klaar"",05-01-2024 03:56_14,05-01-2024 03:56_19,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerStagingTabellen"",""Klaar"",05-01-2024 03:56_10,05-01-2024 03:56_24,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""InitialiserenBronzone"",""Klaar"",05-01-2024 03:58_21,05-01-2024 03:59_05,1"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""InlezenResafasaPakbon"",""Klaar"",05-01-2024 03:55_37,05-01-2024 03:55_43,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Laden delta tabel"",""Klaar"",05-01-2024 04:00_00,05-01-2024 04:00_14,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Laden technische HUB staging tabel"",""Klaar"",05-01-2024 03:59_27,05-01-2024 03:59_34,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Laden technische staging tabel"",""Klaar"",05-01-2024 03:59_17,05-01-2024 03:59_33,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""LadenBestand"",""Klaar"",05-01-2024 03:56_34,05-01-2024 03:57_06,1"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""LadenBronzone"",""Klaar"",05-01-2024 03:59_07,05-01-2024 04:00_38,2"
