"OKV_SCHEMA","DL_NAAM","DL_ID","DL_RUN_ID","PROCES_NAAM","DL_FREQUENTIE_INFO","PROCES_STATUS","VERSCHIL","TYPE_DL_NAAM","AANTAL_RUNS_PER_BRON","AANTAL_RUNS_GOED","AANTAL_RUNS_FOUT","RUN_FOUT","START_TIJD","EIND_TIJD"
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,10673,"Maskeering","weekdagelijks om 02:00 Uur","Afgebroken",0,"bestand",426,157,269,1,31-01-2024 02:03_28,31-01-2024 02:03_28
"OKV_STORAGE_PO","storage.storagedagelijks",71,10672,"Maskeering","Dagelijks","Afgebroken",0,"bestand",504,166,338,1,31-01-2024 00:03_57,31-01-2024 00:03_57
"OKV_RESAFASA_PO","rf.brutos",38,10664,"ControlerenResafasaPakbon","dagelijks","Afgebroken",0,"bestand",586,542,44,3,30-01-2024 12:42_13,30-01-2024 12:42_23
"OKV_RESAFASA_PO","rf.brutos",38,10664,"MasterBestandHarnasResafasa","dagelijks","Afgebroken",4,"bestand",586,542,44,3,30-01-2024 12:38_55,30-01-2024 12:42_49
"OKV_RESAFASA_PO","rf.brutos",38,10664,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",4,"bestand",586,542,44,3,30-01-2024 12:38_56,30-01-2024 12:42_44
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,10659,"Maskeering","weekdagelijks om 02:00 Uur","Afgebroken",0,"bestand",426,157,269,1,30-01-2024 02:03_34,30-01-2024 02:03_34
"OKV_STORAGE_PO","storage.storagedagelijks",71,10657,"Maskeering","Dagelijks","Afgebroken",0,"bestand",504,166,338,1,30-01-2024 00:06_55,30-01-2024 00:06_55
"OKV_RESAFASA_PO","rf.actie",137,10646,"ControlerenResafasaPakbon","dagelijks","Afgebroken",0,"bestand",34,31,3,3,29-01-2024 09:22_57,29-01-2024 09:23_08
"OKV_RESAFASA_PO","rf.actie",137,10646,"MasterBestandHarnasResafasa","dagelijks","Afgebroken",4,"bestand",34,31,3,3,29-01-2024 09:19_33,29-01-2024 09:23_22
"OKV_RESAFASA_PO","rf.actie",137,10646,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",4,"bestand",34,31,3,3,29-01-2024 09:19_35,29-01-2024 09:23_17
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,10643,"Maskeering","weekdagelijks om 02:00 Uur","Afgebroken",0,"bestand",426,157,269,1,29-01-2024 02:05_00,29-01-2024 02:05_00
"OKV_STORAGE_PO","storage.storagedagelijks",71,10639,"Maskeering","Dagelijks","Afgebroken",0,"bestand",504,166,338,1,29-01-2024 00:10_02,29-01-2024 00:10_02
"OKV_IMF_PO","imf.imfwekelijks",74,10638,"ControlerenPakbon","wekelijks,  zondag 23:45uur","Afgebroken",1,"bestand",133,122,11,3,28-01-2024 20:39_44,28-01-2024 20:40_16
"OKV_IMF_PO","imf.imfwekelijks",74,10638,"MasterBestandHarnas","wekelijks,  zondag 23:45uur","Afgebroken",10,"bestand",133,122,11,3,28-01-2024 20:30_11,28-01-2024 20:40_31
"OKV_IMF_PO","imf.imfwekelijks",74,10638,"PlatBestandHarnas","wekelijks,  zondag 23:45uur","Afgebroken",10,"bestand",133,122,11,3,28-01-2024 20:30_13,28-01-2024 20:40_26
